gene_name	number_of_transposon_per_gene	number_of_read_pergene
YCL012C 	34 	468 	
GBP2 	102 	3777 	
SGF29 	68 	2770 	
ILV6 	63 	2271 	
STP22 	56 	1460 	
YCL007C 	6 	170 	
VMA9 	4 	20 	
LDB16 	60 	2775 	
PGS1 	82 	1496 	
YCL002C 	73 	4319 	
RER1 	61 	517 	
YCL001W-A 	40 	350 	
YCL001W-B 	20 	514 	
YCR001W 	24 	1118 	
CDC10 	11 	123 	
MRPL32 	33 	2775 	
YCP4 	50 	1184 	
CIT2 	105 	5311 	
YCR006C 	26 	11731 	
YCR007C 	60 	3371 	
SAT4 	59 	1889 	
RVS161 	28 	553 	
ADY2 	44 	2530 	
ADP1 	135 	5494 	
PGK1 	1 	0 	
YCR013C 	4 	49 	
POL4 	90 	3030 	
YCR015C 	48 	1244 	
YCR016W 	41 	838 	
CWH43 	114 	3872 	
SRD1 	13 	600 	
YCR018C-A 	12 	547 	
MAK32 	54 	2465 	
PET18 	31 	804 	
MAK31 	9 	427 	
HTL1 	1 	0 	
HSP30 	39 	1980 	
YCR022C 	27 	1192 	
YCR023C 	85 	2815 	
SLM5 	32 	387 	
YCR024C-B 	8 	74 	
PMP1 	4 	7 	
YCR025C 	41 	2038 	
NPP1 	71 	2120 	
RHB1 	6 	151 	
FEN2 	34 	576 	
RIM1 	2 	23 	
SYP1 	60 	2073 	
RPS14A 	10 	170 	
BPH1 	101 	1954 	
SNT1 	40 	645 	
ELO2 	11 	40 	
RRP43 	1 	0 	
RBK1 	27 	748 	
PHO87 	56 	1903 	
BUD5 	26 	273 	
YCR038W-A 	3 	7 	
MATALPHA2 	2 	1 	
MATALPHA1 	0 	0 	
YCR041W 	1 	0 	
TAF2 	13 	257 	
YCR043C 	8 	356 	
PER1 	1 	0 	
RRT12 	69 	2217 	
YCR045W-A 	21 	469 	
IMG1 	12 	46 	
BUD23 	8 	54 	
YCR047W-A 	0 	0 	
YCR049C 	15 	509 	
ARE1 	62 	2560 	
YCR050C 	6 	23 	
YCR051W 	17 	556 	
RSC6 	3 	5 	
THR4 	11 	237 	
CTR86 	12 	433 	
PWP2 	3 	9 	
YIH1 	22 	586 	
TAH1 	10 	310 	
YCR061W 	89 	2744 	
YCR064C 	20 	2187 	
BUD31 	6 	51 	
HCM1 	36 	1043 	
RAD18 	12 	113 	
SED4 	47 	960 	
ATG15 	44 	1230 	
CPR4 	12 	220 	
IMG2 	5 	18 	
RSA4 	1 	0 	
SSK22 	56 	1819 	
SOL2 	16 	530 	
ERS1 	13 	446 	
YCR075W-A 	4 	18 	
FUB1 	14 	289 	
PAT1 	14 	95 	
PTC6 	25 	558 	
SRB8 	22 	223 	
YCR081C-A 	4 	7 	
AHC2 	2 	18 	
TRX3 	5 	93 	
TUP1 	3 	5 	
YCR085W 	13 	27 	
CSM1 	12 	162 	
YCR087W 	9 	135 	
