gene_name number_of_transposon_per_gene number_of_read_per_gene
RPL35A 4 6
UFD2 21 726
RBS1 26 887
PPH22 12 972
YDL187C 5 88
YDL186W 8 140
YDL185C-A 9 359
VMA1 5 5
RPL41A 1 0
YDL183C 15 431
LYS20 34 1363
INH1 5 24
YDL180W 10 93
PCL9 8 78
DLD2 26 1220
YDL177C 9 436
YDL176W 15 581
AIR2 13 282
DLD1 38 1786
PAR32 12 105
YDL172C 9 91
GLT1 100 3752
UGA3 29 1195
UGX2 12 343
SFA1 19 911
NRP1 27 512
FAP7 3 21
CDC36 0 0
CDC9 7 180
YDL163W 6 179
YDL162C 22 597
ENT1 12 255
MHF2 5 132
DHH1 6 11
YDL159W-A 11 111
STE7 17 381
YDL159C-B 2 3
YDL158C 5 96
YDL157C 2 10
CMR1 36 1638
CLB3 14 639
MSH5 41 1493
SAS10 1 0
YDL152W 13 155
BUD30 2 1
RPC53 2 3
ATG9 30 1341
NOP14 24 429
RPN5 5 7
LDB17 14 216
COP1 7 136
YDL144C 29 1373
CCT4 2 1
CRD1 10 261
BPL1 8 28
RPO21 16 33
SCM3 2 1
RGT2 35 1663
ARF2 10 80
RPL35B 11 514
RDI1 12 247
PPH21 21 378
RPL41B 2 1
SRF1 18 872
CDC53 6 23
LYS21 20 1322
STF1 5 75
RPP1B 4 47
YDL129W 13 707
VCX1 22 724
PCL2 32 1528
CDC48 4 3
HNT1 6 10
YDL124W 27 1244
SNA4 16 449
UBP1 16 221
YDL121C 7 299
YFH1 1 0
YDL119C 9 203
YDL118W 5 54
CYK3 20 280
NUP84 6 10
IWR1 21 943
YDL114W-A 0 0
YDL114W 18 504
ATG20 20 363
TRM3 40 2042
RRP42 5 51
TMA17 7 50
YDL109C 46 1893
KIN28 5 34
MSS2 14 369
PHO2 9 112
NSE4 1 0
QRI7 21 1114
QRI1 1 0
POL3 6 31
DUN1 23 597
GET3 17 701
BUG1 6 56
SNU23 5 46
RPN6 5 4
OPI6 10 147
PMT1 24 303
YDL094C 34 1340
PMT5 32 1361
SRP14 10 603
UBX3 22 814
RAM1 4 20
NUR1 20 307
ASM4 19 432
LUC7 7 51
YDL086W 28 1201
YDL086C-A 19 659
YDL085C-A 3 34
NDE2 27 1354
SUB2 2 1
RPS16B 8 54
RPL13A 11 243
RPP1A 3 2
THI3 28 870
MRK1 46 1610
MDH3 17 266
VAM6 9 19
RXT3 30 831
RPL31A 1 0
BRE1 2 1
YDL073W 28 912
YET3 6 18
YDL071C 35 942
BDF2 16 276
CBS1 7 80
YDL068W 5 54
COX9 2 3
IDP1 23 1587
PEX19 20 436
UBC9 1 0
SYO1 24 1101
YDL062W 7 144
RPS29B 3 3
TSR1 5 4
RAD59 20 625
USO1 24 640
YDL057W 21 542
MBP1 23 350
PSA1 3 3
MCH1 53 2033
PBP4 6 103
SLC1 21 527
LHP1 22 843
YDL050C 15 597
KNH1 37 754
STP4 54 2699
SIT4 7 163
NPC2 7 122
MRP10 2 1
FAD1 2 1
MTF2 19 221
PRP11 0 0
SIR2 36 1400
YDL041W 17 419
NAT1 21 770
PRM7 52 1170
BSC1 6 170
PUS9 25 989
GPR1 26 623
YDL034W 4 34
SLM3 47 2604
YDL032W 10 276
DBP10 10 178
PRP9 3 4
ARP2 1 0
MPS1 14 361
YDL027C 23 936
YDL026W 10 273
RTK1 35 1208
YDL025W-A 1 0
DIA3 40 1288
YDL022C-A 13 569
YDL023C 13 223
GPD1 36 1213
GPM2 48 1767
RPN4 54 2549
OSH2 111 5590
ERP3 18 575
CDC7 10 785
YDL016C 6 384
TSC13 0 0
NOP1 0 0
SLX5 40 837
YDL012C 14 349
YDL011C 18 471
GRX6 30 1503
YDL009C 15 261
APC11 6 22
YDL007C-A 6 69
RPT2 2 1
PTC1 3 2
MED2 34 952
ATP16 2 1
MCD1 3 2
NHP10 18 97
RMD1 69 4077
NTH1 114 3877
YRB1 2 6
RCR2 68 3498
YDR003W-A 4 11
RAD57 34 688
MAF1 13 343
SOK1 54 1353
TRP1 47 1479
YDR008C 59 2635
GAL3 66 4149
YDR010C 72 2831
SNQ2 143 7330
RPL4B 12 406
PSF1 0 0
RAD61 42 1518
HED1 10 227
YDR015C 7 163
DAD1 0 0
KCS1 36 1232
YDR018C 53 3290
GCV1 33 986
DAS2 33 1688
FAL1 0 0
ATG31 12 260
SES1 3 3
FYV1 33 768
RPS11A 10 97
NSI1 40 1998
VPS54 15 134
REG1 31 1019
YDR029W 7 89
RAD28 38 1532
MIX14 15 406
PST2 18 682
MRH1 31 1052
LYS14 36 1055
YDR034C-A 4 61
YDR034W-B 7 66
ARO3 13 110
EHD3 52 3628
KRS1 4 3
ENA5 33 452
ENA2 14 15
ENA1 16 298
RSM10 6 35
YDR042C 7 60
NRG1 21 719
HEM13 2 1
RPC11 1 0
BAP3 36 1968
HEM12 3 3
YDR048C 28 609
VMS1 4 10
TPI1 1 0
DET1 30 1564
DBF4 2 5
YDR053W 1 0
CDC34 3 2
PST1 23 330
YDR056C 14 334
YOS9 25 2045
TGL2 8 84
UBC5 5 242
MAK21 7 135
YDR061W 29 1369
LCB2 2 1
AIM7 8 97
RPS13 1 0
RRG1 16 167
RTR2 12 388
OCA6 18 340
DOS2 16 695
DOA4 6 7
FMP16 3 7
PAA1 3 9
IPT1 46 1277
SNF11 13 309
TPS2 29 758
PPH3 6 35
RAD55 23 712
SED1 19 607
SHU2 18 1290
PET100 7 134
TFB5 2 1
VPS41 13 16
PDC2 1 0
STN1 5 82
RRP8 21 380
TVP23 3 7
AFR1 24 688
SSS1 1 0
RRP1 0 0
SLU7 5 6
YDR089W 18 285
YDR090C 22 655
RLI1 0 0
UBC13 10 155
DNF2 125 4941
YDR094W 58 2476
YDR095C 41 1338
GIS1 35 857
MSH6 36 981
GRX3 12 864
BMH2 35 1257
TVP15 13 92
ARX1 20 300
YDR102C 8 191
STE5 15 140
SPO71 40 2827
TMS1 21 1324
ARP10 24 671
TMN2 30 940
TRS85 19 489
YDR109C 24 556
FOB1 30 847
ALT2 39 1526
IRC2 7 95
PDS1 7 32
YDR114C 22 840
YDR115W 3 15
MRPL1 20 788
TMA64 7 17
APC4 6 231
YDR118W-A 2 1
VBA4 42 1659
COX26 8 402
TRM1 29 1237
DPB4 9 355
KIN1 30 1240
INO2 2 1
YDR124W 9 99
ECM18 8 323
SWF1 34 1094
ARO1 52 2121
MTC5 48 2102
SAC6 9 72
FIN1 16 370
YDR131C 15 176
YDR132C 20 546
YDR133C 3 13
YCF1 42 1909
VPS61 23 1481
RGP1 4 6
HPR1 15 545
RUB1 4 66
MTQ2 8 105
DOP1 5 9
PEX7 15 450
SAN1 43 969
MKC7 13 476
TAF12 4 15
SWI5 15 345
EKI1 19 681
KGD2 18 682
YDR149C 4 4
NUM1 30 941
CTH1 18 554
GIR2 8 135
ENT5 13 372
YDR154C 3 6
CPR1 8 287
RPA14 26 691
YDR157W 36 2670
HOM2 18 323
SAC3 21 445
SSY1 3 4
YDR161W 4 6
NBP2 1 0
CWC15 14 502
SEC1 4 3
TRM82 21 495
SEC5 17 293
TAF10 8 245
CDC37 8 61
STB3 7 109
YDR169C-A 1 0
SEC7 15 166
HSP42 22 1087
SUP35 5 32
ARG82 3 19
HMO1 11 271
RSM24 7 23
NGG1 9 60
UBC1 3 6
