gene_name number_of_transposon_per_gene number_of_read_per_gene
THI3 32 1154
MRK1 36 891
MDH3 22 405
VAM6 6 28
RXT3 26 737
RPL31A 0 0
BRE1 3 3
YDL073W 44 2310
YET3 18 823
YDL071C 41 621
BDF2 23 373
CBS1 5 28
YDL068W 0 0
COX9 1 0
IDP1 38 1571
PEX19 27 950
UBC9 2 1
SYO1 24 728
YDL062W 4 6
RPS29B 5 22
TSR1 3 2
RAD59 20 157
USO1 18 742
YDL057W 15 202
MBP1 22 325
PSA1 0 0
MCH1 60 2897
PBP4 11 335
SLC1 21 726
LHP1 27 488
YDL050C 13 229
KNH1 34 836
STP4 75 3642
SIT4 5 21
NPC2 14 456
MRP10 2 1
FAD1 3 2
MTF2 3 10
PRP11 1 0
SIR2 45 1759
YDL041W 16 261
NAT1 16 399
PRM7 50 1100
BSC1 19 263
PUS9 45 1052
GPR1 26 354
YDL034W 7 117
SLM3 62 1538
YDL032W 11 104
DBP10 10 288
PRP9 6 20
ARP2 3 17
MPS1 12 408
YDL027C 31 832
YDL026W 17 403
RTK1 50 1323
YDL025W-A 2 9
DIA3 37 1438
YDL022C-A 9 112
YDL023C 8 106
GPD1 24 672
GPM2 45 1220
RPN4 70 3893
OSH2 101 3102
ERP3 15 339
CDC7 12 145
YDL016C 13 372
TSC13 2 1
NOP1 0 0
SLX5 27 810
YDL012C 36 1498
YDL011C 15 544
GRX6 22 669
YDL009C 7 78
APC11 10 100
YDL007C-A 5 78
RPT2 1 0
PTC1 3 2
MED2 27 298
ATP16 8 162
MCD1 6 10
NHP10 24 323
RMD1 52 1896
NTH1 141 5339
YRB1 0 0
RCR2 60 2048
YDR003W-A 6 158
RAD57 29 1142
MAF1 7 67
SOK1 49 1066
TRP1 62 1963
YDR008C 71 2727
GAL3 72 2814
YDR010C 80 6453
SNQ2 144 4889
RPL4B 20 518
PSF1 0 0
RAD61 44 1395
HED1 20 362
YDR015C 10 226
DAD1 0 0
KCS1 28 392
YDR018C 72 3406
GCV1 51 1517
DAS2 46 1097
FAL1 3 2
ATG31 12 194
SES1 1 0
FYV1 39 634
RPS11A 5 88
NSI1 35 665
VPS54 23 759
REG1 26 696
YDR029W 17 307
RAD28 51 1174
MIX14 10 807
PST2 31 676
MRH1 37 1668
LYS14 46 1672
YDR034C-A 6 109
YDR034W-B 10 121
ARO3 29 339
EHD3 51 1577
KRS1 9 12
ENA5 41 829
ENA2 20 35
ENA1 26 181
RSM10 3 6
YDR042C 5 27
NRG1 21 611
HEM13 0 0
RPC11 0 0
BAP3 33 1336
HEM12 5 7
YDR048C 34 888
VMS1 1 0
TPI1 1 0
DET1 31 2010
DBF4 0 0
YDR053W 0 0
CDC34 6 95
PST1 30 1061
YDR056C 26 635
YOS9 34 1500
TGL2 14 345
UBC5 7 193
MAK21 9 31
YDR061W 24 493
LCB2 2 4
AIM7 7 91
RPS13 0 0
RRG1 7 113
RTR2 20 890
OCA6 17 494
DOS2 17 680
DOA4 4 5
FMP16 5 43
PAA1 14 604
IPT1 42 1328
SNF11 17 143
TPS2 30 563
PPH3 4 7
RAD55 29 872
SED1 33 1270
SHU2 31 1011
PET100 3 33
TFB5 2 15
VPS41 6 9
PDC2 0 0
STN1 7 7
RRP8 12 218
TVP23 6 43
AFR1 30 914
SSS1 1 0
RRP1 1 0
SLU7 7 124
YDR089W 47 1615
YDR090C 23 843
RLI1 1 0
UBC13 21 351
DNF2 153 5279
YDR094W 70 2475
YDR095C 54 884
GIS1 39 1234
MSH6 46 2002
GRX3 14 476
BMH2 37 1033
TVP15 13 453
ARX1 18 329
YDR102C 21 750
STE5 28 666
SPO71 38 1290
TMS1 29 1054
ARP10 24 596
TMN2 25 407
TRS85 12 499
YDR109C 21 273
FOB1 28 398
ALT2 31 676
IRC2 12 468
PDS1 4 7
YDR114C 17 380
YDR115W 1 0
MRPL1 5 12
TMA64 13 100
APC4 8 52
YDR118W-A 3 6
VBA4 54 1642
COX26 15 753
TRM1 41 1975
DPB4 7 12
KIN1 45 1926
INO2 4 8
YDR124W 24 782
ECM18 20 205
SWF1 51 2120
ARO1 72 1917
MTC5 51 1858
SAC6 12 103
FIN1 12 290
YDR131C 30 708
YDR132C 23 254
YDR133C 7 20
YCF1 44 775
VPS61 41 2010
RGP1 6 20
HPR1 20 238
RUB1 3 35
MTQ2 5 11
DOP1 11 158
PEX7 20 663
SAN1 42 1238
MKC7 15 358
TAF12 2 3
SWI5 12 129
EKI1 12 359
KGD2 19 315
YDR149C 3 2
NUM1 34 780
CTH1 14 176
GIR2 10 307
ENT5 17 308
YDR154C 12 469
CPR1 22 1735
RPA14 20 331
YDR157W 35 1594
HOM2 13 281
SAC3 21 227
SSY1 3 8
YDR161W 4 6
NBP2 3 10
CWC15 8 45
SEC1 4 3
TRM82 24 533
SEC5 14 67
TAF10 1 0
CDC37 6 67
STB3 7 18
YDR169C-A 2 7
SEC7 9 11
HSP42 16 297
SUP35 3 2
ARG82 3 2
HMO1 14 93
RSM24 3 2
NGG1 8 20
UBC1 3 10
SDH4 5 33
CSN9 9 138
YDR179W-A 13 154
SCC2 11 13
SAS4 9 133
CDC1 2 1
YDR182W-A 4 26
PLP1 19 500
YDR183C-A 5 58
ATC1 11 341
UPS3 16 326
YDR186C 31 354
YDR187C 7 265
CCT6 7 18
SLY1 1 0
RVB1 0 0
HST4 19 240
NUP42 13 266
YDR193W 8 184
MSS116 5 19
YDR194W-A 1 0
REF2 3 13
CAB5 4 12
CBS2 3 3
RKM2 17 859
YDR199W 6 63
VPS64 14 284
SPC19 0 0
RAV2 7 64
YDR203W 5 59
COQ4 3 3
MSC2 11 34
EBS1 16 119
UME6 28 1186
MSS4 13 207
YDR209C 6 69
YDR210W 5 67
GCD6 3 7
TCP1 0 0
UPC2 51 1826
AHA1 36 1769
YDR215C 55 2323
ADR1 45 1226
RAD9 57 2105
SPR28 16 207
MFB1 11 94
YDR220C 12 236
GTB1 31 1334
YDR222W 13 147
CRF1 20 469
HTB1 2 1
HTA1 4 41
ADK1 3 2
SIR4 35 408
PCF11 5 5
IVY1 34 882
YDR230W 8 147
COX20 11 136
HEM1 6 9
RTN1 19 226
LYS4 26 632
PRP42 0 0
FMN1 3 8
MRPL7 2 1
SEC26 4 5
YDR239C 29 789
SNU56 4 20
BUD26 15 1113
AMD2 30 785
PRP28 0 0
PEX5 28 803
MNN10 7 63
TRS23 3 4
YDR246W-A 33 2054
VHS1 30 977
YDR248C 13 164
YDR249C 22 583
YDR250C 35 1615
PAM1 19 232
BTT1 9 146
MET32 8 279
CHL4 13 218
RMD5 12 48
CTA1 44 1057
RKM4 5 11
HSP78 65 2229
YAP6 34 952
SWM1 30 1071
EXG2 30 899
YDR262W 9 141
DIN7 17 479
AKR1 8 48
PEX10 9 250
HEL2 19 237
CIA1 2 1
MSW1 3 2
YDR269C 2 1
CCC2 26 400
YDR271C 8 108
GLO2 21 265
DON1 11 85
YDR274C 61 3840
BSC2 9 390
PMP3 4 11
MTH1 22 603
YDR278C 15 207
RNH202 16 364
RRP45 3 2
PHM6 3 12
YDR282C 28 680
GCN2 27 338
DPP1 12 296
ZIP1 20 212
YDR286C 10 385
INM2 12 286
NSE3 3 3
RTT103 3 3
YDR290W 15 183
HRQ1 42 1425
SRP101 2 1
SSD1 39 913
DPL1 28 896
HDA2 17 380
MHR1 2 118
SUR2 9 62
ATP5 0 0
BFR2 2 1
PRO1 3 2
CFT1 4 4
GPI11 4 34
RSC3 7 26
CPR5 11 213
HNT2 25 1754
YDR306C 21 324
PMT7 28 592
SRB7 2 1
GIC2 12 272
SUM1 21 377
TFB1 9 28
SSF2 12 364
PIB1 22 448
RAD34 35 1325
IPK1 5 44
OMS1 20 406
HIM1 19 308
MCM21 9 186
YFT2 12 302
SWA2 19 385
DAD4 0 0
YDR320W-B 15 538
ASP1 12 188
MRPL35 6 10
TIM11 5 33
PEP7 13 42
UTP4 6 10
YCG1 5 75
YSP2 49 1454
YDR327W 3 2
SKP1 1 0
PEX3 17 425
UBX5 28 435
GPI8 4 6
IRC3 30 928
RQC1 10 130
SWR1 72 3448
MSN5 6 19
YDR336W 22 760
MRPS28 6 7
YDR338C 39 2484
FCF1 0 0
YDR340W 12 282
YDR341C 6 7
HXT7 6 41
HXT6 6 6
YDR344C 34 1054
HXT3 38 1254
SVF1 22 449
MRP1 6 21
PAL1 20 875
YPS7 15 337
ATP22 4 43
SBE2 26 734
YPQ2 14 190
TRR1 9 48
TRP4 20 437
YDR354C-A 2 13
YDR355C 4 5
SPC110 12 121
CNL1 17 360
GGA1 13 249
EAF1 18 518
OPI7 6 30
BCP1 6 8
TFC6 10 83
ESC2 16 288
SEM1 0 0
CDC40 6 8
ESF1 4 3
YDR366C 17 521
KEI1 7 103
YPR1 12 297
XRS2 29 923
DXO1 14 317
CTS2 22 1111
YDR371C-A 0 0
VPS74 8 11
FRQ1 0 0
PHO92 8 49
WIP1 1 0
BCS1 6 101
ARH1 1 0
ATP17 2 5
LSM6 0 0
RGA2 38 1189
SDH6 9 124
ARO10 37 1193
YRA1 3 2
YDR381C-A 7 9
RPP2B 5 30
NKP1 7 84
ATO3 32 1224
EFT2 2 1
MUS81 18 290
YDR387C 20 370
RVS167 19 271
SAC7 11 140
UBA2 15 473
YDR391C 11 295
SPT3 3 2
SHE9 23 433
RPT3 1 0
SXM1 15 44
YDR396W 4 61
NCB2 5 70
UTP5 2 91
HPT1 14 290
URH1 20 603
YDR401W 24 526
DIT2 31 822
DIT1 34 1019
RPB7 0 0
MRP20 19 183
PDR15 150 6227
YDR406W-A 3 8
TRS120 7 42
ADE8 0 0
SIZ1 22 488
STE14 20 460
