gene_name number_of_transposon_per_gene number_of_read_per_gene
PST2 20 1164
MRH1 30 1235
LYS14 42 1317
YDR034C-A 3 129
YDR034W-B 7 98
ARO3 15 139
EHD3 56 3309
KRS1 5 4
ENA5 27 356
ENA2 7 6
ENA1 21 251
RSM10 5 76
YDR042C 9 36
NRG1 26 673
HEM13 2 1
RPC11 1 0
BAP3 43 1888
HEM12 1 0
YDR048C 22 814
VMS1 5 213
TPI1 1 0
DET1 28 930
DBF4 4 4
YDR053W 1 0
CDC34 1 0
PST1 21 342
YDR056C 14 251
YOS9 25 1826
TGL2 13 129
UBC5 7 219
MAK21 11 55
YDR061W 32 1567
LCB2 2 1
AIM7 12 300
RPS13 3 2
RRG1 13 301
RTR2 11 255
OCA6 15 584
DOS2 16 629
DOA4 4 7
FMP16 6 47
PAA1 4 36
IPT1 51 2147
SNF11 12 384
TPS2 20 525
PPH3 7 32
RAD55 26 433
SED1 21 932
SHU2 18 770
PET100 5 63
TFB5 2 1
VPS41 10 24
PDC2 2 1
STN1 9 265
RRP8 14 240
TVP23 3 107
AFR1 22 412
SSS1 1 0
RRP1 2 1
SLU7 6 26
YDR089W 22 379
YDR090C 19 318
RLI1 0 0
UBC13 10 273
DNF2 131 4535
YDR094W 57 2701
YDR095C 39 1452
GIS1 28 995
MSH6 36 1080
GRX3 14 345
BMH2 34 1252
TVP15 12 272
ARX1 16 488
YDR102C 7 243
STE5 14 270
SPO71 46 1507
TMS1 22 1072
ARP10 22 521
TMN2 30 623
TRS85 15 857
YDR109C 23 423
FOB1 32 732
ALT2 42 1178
IRC2 7 153
PDS1 8 89
YDR114C 24 545
YDR115W 2 4
MRPL1 20 629
TMA64 3 4
APC4 10 33
YDR118W-A 2 2
VBA4 45 1893
COX26 7 215
TRM1 35 1129
DPB4 7 81
KIN1 26 1166
INO2 2 17
YDR124W 13 237
ECM18 13 183
SWF1 29 1068
ARO1 52 1459
MTC5 57 2322
SAC6 11 145
FIN1 17 169
YDR131C 13 183
YDR132C 21 494
YDR133C 7 21
YCF1 45 1717
VPS61 23 916
RGP1 8 36
HPR1 10 145
RUB1 5 75
MTQ2 8 62
DOP1 8 12
PEX7 21 660
SAN1 39 859
MKC7 20 842
TAF12 6 37
SWI5 16 234
EKI1 20 791
KGD2 19 517
YDR149C 3 5
NUM1 26 1147
CTH1 19 385
GIR2 11 369
ENT5 12 360
YDR154C 4 22
CPR1 11 716
RPA14 25 387
YDR157W 39 1804
HOM2 22 313
SAC3 26 351
SSY1 9 235
YDR161W 2 4
NBP2 1 0
CWC15 15 479
SEC1 5 4
TRM82 18 306
SEC5 14 139
TAF10 7 54
CDC37 7 60
STB3 5 27
YDR169C-A 1 0
SEC7 15 174
HSP42 21 1011
SUP35 5 5
ARG82 2 3
HMO1 9 117
RSM24 5 31
NGG1 11 134
UBC1 2 37
SDH4 6 108
CSN9 4 128
YDR179W-A 13 165
SCC2 6 6
SAS4 16 245
CDC1 4 3
YDR182W-A 3 269
PLP1 13 379
YDR183C-A 2 78
ATC1 5 29
UPS3 7 277
YDR186C 23 367
YDR187C 12 317
CCT6 3 5
SLY1 1 0
RVB1 0 0
HST4 14 595
NUP42 8 112
YDR193W 6 172
MSS116 6 13
YDR194W-A 1 0
REF2 6 57
CAB5 1 0
CBS2 4 7
RKM2 11 209
YDR199W 4 38
VPS64 10 38
SPC19 0 0
RAV2 8 42
YDR203W 5 17
COQ4 8 59
MSC2 11 46
EBS1 16 336
UME6 28 838
MSS4 21 638
YDR209C 8 124
YDR210W 3 13
GCD6 9 15
TCP1 6 7
UPC2 61 2400
AHA1 19 976
YDR215C 37 1160
ADR1 30 752
RAD9 37 1575
SPR28 20 810
MFB1 3 23
YDR220C 12 161
GTB1 27 900
YDR222W 20 510
CRF1 11 194
HTB1 2 1
HTA1 4 5
ADK1 7 250
SIR4 33 576
PCF11 0 0
IVY1 29 967
YDR230W 11 345
COX20 12 363
HEM1 3 3
RTN1 8 82
LYS4 27 863
PRP42 2 1
FMN1 2 1
MRPL7 3 3
SEC26 2 1
YDR239C 21 788
SNU56 7 107
BUD26 19 667
AMD2 26 543
PRP28 2 1
PEX5 27 1126
MNN10 9 195
TRS23 5 10
YDR246W-A 33 2580
VHS1 13 198
YDR248C 15 464
YDR249C 19 462
YDR250C 35 2281
PAM1 21 501
BTT1 4 11
MET32 7 170
CHL4 12 188
RMD5 13 68
CTA1 29 824
RKM4 10 328
HSP78 48 1643
YAP6 33 1457
SWM1 35 2120
EXG2 28 761
YDR262W 7 74
DIN7 15 416
AKR1 6 11
PEX10 6 116
HEL2 18 392
CIA1 1 0
MSW1 6 19
YDR269C 4 5
CCC2 32 234
YDR271C 19 201
GLO2 11 301
DON1 8 88
YDR274C 53 3099
BSC2 12 382
PMP3 13 739
MTH1 20 885
YDR278C 16 746
RNH202 5 63
RRP45 4 5
PHM6 6 57
YDR282C 16 448
GCN2 23 242
DPP1 23 515
ZIP1 22 633
YDR286C 2 1
INM2 11 307
NSE3 5 182
RTT103 1 0
YDR290W 3 83
HRQ1 31 1132
SRP101 4 3
SSD1 31 894
DPL1 20 389
HDA2 22 565
MHR1 6 55
SUR2 8 98
ATP5 1 0
BFR2 4 3
PRO1 2 1
CFT1 6 7
GPI11 1 0
RSC3 6 8
CPR5 11 68
HNT2 10 540
YDR306C 16 546
PMT7 24 691
SRB7 1 0
GIC2 13 147
SUM1 19 779
TFB1 7 93
SSF2 23 667
PIB1 17 646
RAD34 20 826
IPK1 7 71
OMS1 15 354
HIM1 8 57
MCM21 5 17
YFT2 10 120
SWA2 27 767
DAD4 0 0
YDR320W-B 14 689
ASP1 10 170
MRPL35 4 3
TIM11 4 18
PEP7 11 160
UTP4 5 16
YCG1 10 17
YSP2 33 577
YDR327W 0 0
SKP1 1 0
PEX3 14 647
UBX5 10 243
GPI8 1 0
IRC3 19 414
RQC1 10 72
SWR1 38 1161
MSN5 9 16
YDR336W 17 1080
MRPS28 5 10
YDR338C 32 1146
FCF1 1 0
YDR340W 18 590
