gene_name	number_of_transposon_per_gene	number_of_read_pergene
YCR050C 	1 	0 	
YCR051W 	12 	151 	
RSC6 	1 	0 	
THR4 	2 	2 	
CTR86 	4 	7 	
PWP2 	0 	0 	
YIH1 	17 	378 	
TAH1 	9 	174 	
YCR061W 	64 	1383 	
YCR064C 	18 	777 	
BUD31 	1 	0 	
HCM1 	18 	210 	
RAD18 	1 	0 	
SED4 	23 	478 	
ATG15 	33 	712 	
CPR4 	9 	208 	
IMG2 	4 	48 	
RSA4 	1 	0 	
SSK22 	26 	691 	
SOL2 	14 	128 	
ERS1 	10 	149 	
YCR075W-A 	1 	0 	
FUB1 	11 	147 	
PAT1 	3 	11 	
PTC6 	10 	61 	
SRB8 	4 	59 	
YCR081C-A 	1 	0 	
AHC2 	3 	5 	
TRX3 	7 	101 	
TUP1 	2 	2 	
YCR085W 	3 	4 	
CSM1 	19 	307 	
YCR087W 	6 	53 	
YCR087C-A 	5 	47 	
ABP1 	39 	426 	
FIG2 	29 	274 	
YCR090C 	5 	16 	
KIN82 	17 	268 	
MSH3 	27 	225 	
CDC39 	5 	35 	
CDC50 	4 	11 	
OCA4 	4 	23 	
YCR095W-A 	0 	0 	
HMRA2 	0 	0 	
HMRA1 	4 	15 	
YCR097W-A 	0 	0 	
GIT1 	17 	159 	
YCR099C 	1 	0 	
YCR100C 	2 	11 	
YCR101C 	4 	20 	
YCR102C 	10 	85 	
YCR102W-A 	0 	0 	
PAU3 	1 	0 	
ADH7 	15 	315 	
RDS1 	19 	272 	
AAD3 	9 	58 	
YCR108C 	2 	5 	
COS7 	3 	15 	
YDL247W-A 	0 	0 	
MPH2 	4 	10 	
SOR2 	1 	0 	
HXT15 	1 	0 	
THI13 	7 	105 	
AAD4 	16 	237 	
YDL242W 	13 	172 	
YDL241W 	2 	10 	
YDL240C-A 	11 	182 	
LRG1 	21 	212 	
ADY3 	10 	73 	
GUD1 	18 	268 	
AIM6 	5 	41 	
PHO13 	7 	55 	
YPD1 	0 	0 	
GYP7 	14 	204 	
MFG1 	7 	53 	
OST4 	0 	0 	
BRE4 	19 	139 	
PTP1 	8 	107 	
SSB1 	6 	16 	
YDL228C 	1 	0 	
HO 	36 	279 	
GCS1 	1 	0 	
SHS1 	5 	31 	
WHI4 	7 	91 	
HBT1 	22 	284 	
FMP45 	4 	16 	
YDL221W 	34 	851 	
CDC13 	23 	581 	
DTD1 	3 	6 	
YDL218W 	9 	245 	
TIM22 	0 	0 	
RRI1 	12 	87 	
GDH2 	29 	575 	
PRR2 	24 	472 	
NOP6 	6 	55 	
SHR3 	1 	0 	
YDL211C 	20 	300 	
UGA4 	15 	117 	
CWC2 	1 	0 	
NHP2 	1 	0 	
GLE1 	1 	0 	
YDL206W 	13 	150 	
HEM3 	0 	0 	
RTN2 	11 	140 	
ACK1 	7 	53 	
MRPL11 	2 	8 	
TRM8 	6 	20 	
MGT1 	4 	11 	
YDL199C 	9 	28 	
GGC1 	6 	42 	
ASF2 	24 	452 	
YDL196W 	17 	755 	
SEC31 	1 	0 	
SNF3 	5 	6 	
NUS1 	2 	1 	
ARF1 	0 	0 	
RPL35A 	0 	0 	
UFD2 	9 	46 	
RBS1 	8 	43 	
PPH22 	9 	121 	
YDL187C 	3 	4 	
YDL186W 	3 	4 	
YDL185C-A 	2 	2 	
VMA1 	0 	0 	
RPL41A 	0 	0 	
YDL183C 	11 	119 	
LYS20 	11 	65 	
INH1 	1 	0 	
YDL180W 	2 	18 	
PCL9 	4 	7 	
DLD2 	28 	389 	
YDL177C 	4 	13 	
YDL176W 	12 	183 	
AIR2 	7 	101 	
DLD1 	31 	496 	
PAR32 	2 	4 	
YDL172C 	0 	0 	
GLT1 	33 	627 	
UGA3 	20 	253 	
UGX2 	5 	22 	
SFA1 	12 	255 	
NRP1 	19 	186 	
FAP7 	2 	1 	
CDC36 	0 	0 	
CDC9 	2 	11 	
YDL163W 	1 	0 	
YDL162C 	11 	197 	
ENT1 	9 	68 	
MHF2 	0 	0 	
DHH1 	2 	2 	
YDL159W-A 	6 	104 	
STE7 	18 	398 	
YDL159C-B 	0 	0 	
YDL158C 	0 	0 	
YDL157C 	3 	19 	
CMR1 	25 	400 	
CLB3 	13 	186 	
MSH5 	34 	422 	
SAS10 	0 	0 	
YDL152W 	8 	28 	
BUD30 	0 	0 	
RPC53 	0 	0 	
ATG9 	2 	5 	
NOP14 	6 	29 	
RPN5 	1 	0 	
LDB17 	5 	38 	
COP1 	4 	8 	
YDL144C 	17 	259 	
CCT4 	1 	0 	
CRD1 	8 	70 	
BPL1 	0 	0 	
RPO21 	3 	2 	
SCM3 	0 	0 	
RGT2 	23 	198 	
ARF2 	10 	94 	
RPL35B 	2 	1 	
RDI1 	4 	6 	
PPH21 	17 	4286 	
RPL41B 	0 	0 	
SRF1 	6 	51 	
CDC53 	3 	4 	
LYS21 	11 	174 	
STF1 	3 	6 	
RPP1B 	2 	1 	
YDL129W 	6 	40 	
VCX1 	8 	16 	
PCL2 	15 	123 	
CDC48 	0 	0 	
HNT1 	10 	81 	
YDL124W 	10 	121 	
SNA4 	6 	49 	
UBP1 	11 	113 	
YDL121C 	9 	131 	
YFH1 	1 	0 	
YDL119C 	4 	13 	
YDL118W 	2 	2 	
CYK3 	14 	101 	
NUP84 	0 	0 	
IWR1 	13 	111 	
YDL114W-A 	0 	0 	
YDL114W 	12 	147 	
ATG20 	17 	233 	
TRM3 	31 	292 	
RRP42 	1 	0 	
TMA17 	6 	32 	
YDL109C 	24 	281 	
KIN28 	3 	20 	
MSS2 	6 	39 	
PHO2 	13 	148 	
NSE4 	0 	0 	
QRI7 	9 	153 	
QRI1 	1 	0 	
POL3 	3 	2 	
DUN1 	11 	142 	
GET3 	3 	20 	
BUG1 	14 	194 	
SNU23 	0 	0 	
RPN6 	0 	0 	
OPI6 	5 	57 	
PMT1 	13 	232 	
YDL094C 	11 	124 	
PMT5 	29 	322 	
SRP14 	4 	20 	
UBX3 	19 	378 	
RAM1 	3 	2 	
NUR1 	9 	67 	
ASM4 	13 	74 	
LUC7 	4 	5 	
YDL086W 	30 	455 	
YDL086C-A 	19 	336 	
YDL085C-A 	1 	0 	
NDE2 	23 	257 	
SUB2 	0 	0 	
RPS16B 	5 	15 	
RPL13A 	6 	53 	
RPP1A 	0 	0 	
THI3 	23 	267 	
MRK1 	27 	319 	
MDH3 	5 	16 	
VAM6 	3 	4 	
RXT3 	9 	40 	
RPL31A 	0 	0 	
BRE1 	11 	94 	
YDL073W 	11 	117 	
YET3 	4 	33 	
YDL071C 	19 	95 	
BDF2 	10 	123 	
CBS1 	3 	29 	
YDL068W 	0 	0 	
COX9 	0 	0 	
IDP1 	18 	211 	
PEX19 	14 	175 	
UBC9 	0 	0 	
SYO1 	12 	104 	
YDL062W 	3 	2 	
RPS29B 	1 	0 	
TSR1 	1 	0 	
RAD59 	15 	93 	
USO1 	17 	291 	
YDL057W 	18 	244 	
MBP1 	24 	293 	
PSA1 	1 	0 	
MCH1 	44 	1002 	
PBP4 	4 	24 	
SLC1 	23 	255 	
LHP1 	18 	242 	
YDL050C 	6 	73 	
KNH1 	23 	356 	
STP4 	37 	1278 	
SIT4 	5 	15 	
NPC2 	10 	108 	
MRP10 	0 	0 	
FAD1 	1 	0 	
MTF2 	4 	43 	
PRP11 	2 	1 	
SIR2 	50 	694 	
YDL041W 	15 	129 	
NAT1 	10 	66 	
PRM7 	17 	156 	
BSC1 	13 	92 	
PUS9 	23 	263 	
GPR1 	10 	213 	
YDL034W 	1 	0 	
SLM3 	18 	123 	
YDL032W 	4 	7 	
DBP10 	5 	29 	
PRP9 	5 	38 	
ARP2 	0 	0 	
MPS1 	10 	274 	
YDL027C 	15 	136 	
YDL026W 	5 	13 	
RTK1 	17 	149 	
YDL025W-A 	0 	0 	
DIA3 	34 	447 	
YDL022C-A 	15 	105 	
YDL023C 	6 	54 	
GPD1 	22 	266 	
GPM2 	38 	501 	
RPN4 	11 	98 	
OSH2 	86 	2000 	
ERP3 	12 	199 	
CDC7 	4 	31 	
YDL016C 	4 	33 	
TSC13 	0 	0 	
NOP1 	0 	0 	
SLX5 	5 	21 	
YDL012C 	19 	488 	
YDL011C 	15 	228 	
GRX6 	26 	447 	
YDL009C 	11 	24 	
APC11 	5 	65 	
YDL007C-A 	8 	80 	
RPT2 	1 	0 	
PTC1 	3 	20 	
MED2 	32 	1783 	
ATP16 	1 	0 	
MCD1 	5 	135 	
NHP10 	26 	456 	
RMD1 	119 	7709 	
NTH1 	162 	4452 	
YRB1 	1 	0 	
RCR2 	51 	1892 	
YDR003W-A 	6 	57 	
RAD57 	15 	115 	
MAF1 	10 	90 	
SOK1 	32 	361 	
TRP1 	40 	523 	
YDR008C 	21 	530 	
GAL3 	56 	1154 	
YDR010C 	30 	2268 	
SNQ2 	98 	1762 	
RPL4B 	9 	88 	
PSF1 	0 	0 	
RAD61 	20 	123 	
