gene_name	number_of_transposon_per_gene	number_of_read_pergene
YBR221W-A 	13 	210 	
PCS60 	70 	1318 	
TDP1 	71 	1092 	
YBR223W-A 	9 	205 	
YBR224W 	19 	252 	
YBR225W 	43 	398 	
YBR226C 	7 	32 	
MCX1 	32 	294 	
SLX1 	16 	180 	
ROT2 	37 	373 	
OM14 	10 	39 	
YBR230W-A 	7 	78 	
SWC5 	37 	722 	
YBR232C 	12 	29 	
PBP2 	37 	250 	
DAD3 	0 	0 	
ARC40 	0 	0 	
VHC1 	48 	764 	
ABD1 	3 	11 	
PRP5 	5 	11 	
YBR238C 	22 	284 	
ERT1 	89 	1608 	
THI2 	51 	1241 	
YBR241C 	67 	1630 	
YBR242W 	20 	189 	
ALG7 	0 	0 	
GPX2 	11 	115 	
ISW1 	72 	1201 	
RRT2 	7 	29 	
ENP1 	2 	1 	
HIS7 	28 	239 	
ARO4 	15 	162 	
SPO23 	51 	638 	
MRPS5 	2 	2 	
DUT1 	0 	0 	
SRB6 	5 	22 	
TRS20 	1 	0 	
MTC4 	20 	217 	
YBR255C-A 	6 	82 	
RIB5 	3 	13 	
POP4 	1 	0 	
SHG1 	9 	64 	
YBR259W 	30 	502 	
RGD1 	27 	504 	
TAE1 	13 	97 	
MIC12 	6 	88 	
SHM1 	29 	225 	
YPT10 	13 	127 	
TSC10 	2 	3 	
REI1 	15 	201 	
SLM6 	2 	5 	
MRPL37 	1 	0 	
FMP21 	7 	31 	
BIT2 	38 	464 	
EFM2 	22 	326 	
HSM3 	21 	140 	
UBX7 	29 	292 	
CHK1 	15 	105 	
RIF1 	29 	343 	
PPS1 	38 	500 	
YBR277C 	16 	150 	
DPB3 	8 	74 	
PAF1 	12 	93 	
SAF1 	28 	301 	
DUG2 	46 	553 	
MRPL27 	3 	2 	
SSH1 	19 	181 	
YBR284W 	78 	1260 	
YBR285W 	5 	24 	
APE3 	31 	326 	
YBR287W 	36 	541 	
APM3 	24 	189 	
SNF5 	22 	48 	
BSD2 	16 	309 	
CTP1 	49 	1206 	
YBR292C 	16 	67 	
VBA2 	24 	325 	
SUL1 	39 	377 	
PCA1 	82 	1135 	
PHO89 	43 	537 	
YBR296C-A 	8 	53 	
MAL33 	35 	413 	
MAL31 	34 	329 	
YBR298C-A 	7 	78 	
MAL32 	6 	49 	
YBR300C 	11 	21 	
PAU24 	2 	1 	
COS2 	1 	0 	
YCL076W 	2 	1 	
GEX1 	3 	2 	
VBA3 	1 	0 	
YCL068C 	0 	0 	
HMLALPHA2 	0 	0 	
HMLALPHA1 	0 	0 	
YCL065W 	0 	0 	
CHA1 	5 	53 	
VAC17 	21 	235 	
MRC1 	32 	182 	
KRR1 	3 	5 	
FYV5 	11 	123 	
ADF1 	4 	7 	
MIC10 	3 	15 	
PRD1 	44 	667 	
PEX34 	7 	24 	
KAR4 	14 	114 	
SPB1 	10 	64 	
PBN1 	8 	94 	
LRE1 	68 	1718 	
APA1 	19 	287 	
YCL049C 	27 	376 	
YCL048W-A 	7 	35 	
SPS22 	32 	582 	
POF1 	21 	447 	
EMC1 	26 	349 	
YCL046W 	5 	4 	
MGR1 	51 	786 	
PDI1 	0 	0 	
YCL041C 	32 	209 	
YCL042W 	36 	790 	
GLK1 	97 	2867 	
GID7 	68 	1317 	
ATG22 	59 	549 	
SRO9 	49 	708 	
GFD2 	116 	2910 	
GRX1 	11 	93 	
LSB5 	72 	1857 	
MXR2 	27 	133 	
STE50 	52 	1602 	
RRP7 	3 	10 	
HIS4 	87 	1330 	
BIK1 	91 	3346 	
RNQ1 	46 	1452 	
FUS1 	81 	1704 	
HBN1 	34 	205 	
FRM2 	44 	1001 	
AGP1 	122 	2968 	
YCL023C 	32 	1313 	
KCC4 	246 	5935 	
YCL022C 	46 	1372 	
YCL021W-A 	31 	617 	
LEU2 	0 	0 	
NFS1 	3 	18 	
DCC1 	30 	347 	
BUD3 	437 	14036 	
YCL012C 	45 	327 	
GBP2 	104 	1573 	
SGF29 	59 	2001 	
ILV6 	86 	2248 	
STP22 	53 	1220 	
YCL007C 	6 	73 	
VMA9 	8 	14 	
LDB16 	67 	1823 	
PGS1 	17 	522 	
YCL002C 	75 	1866 	
RER1 	51 	157 	
YCL001W-A 	36 	206 	
YCL001W-B 	31 	424 	
YCR001W 	37 	971 	
CDC10 	13 	59 	
MRPL32 	22 	1425 	
YCP4 	66 	970 	
CIT2 	157 	6698 	
YCR006C 	13 	8652 	
