gene_name	number_of_transposon_per_gene	number_of_read_pergene
YIH1 	42 	1055 	
TAH1 	6 	61 	
YCR061W 	178 	4671 	
YCR064C 	20 	2027 	
BUD31 	15 	62 	
HCM1 	63 	1101 	
RAD18 	33 	277 	
SED4 	119 	1977 	
ATG15 	73 	1255 	
CPR4 	35 	561 	
IMG2 	20 	277 	
RSA4 	0 	0 	
SSK22 	112 	1697 	
SOL2 	34 	533 	
ERS1 	27 	320 	
YCR075W-A 	6 	31 	
FUB1 	26 	422 	
PAT1 	43 	258 	
PTC6 	56 	1027 	
SRB8 	48 	499 	
YCR081C-A 	8 	133 	
AHC2 	17 	293 	
TRX3 	11 	198 	
TUP1 	8 	33 	
YCR085W 	21 	99 	
CSM1 	32 	368 	
YCR087W 	16 	148 	
YCR087C-A 	13 	98 	
ABP1 	61 	1206 	
FIG2 	67 	975 	
YCR090C 	12 	314 	
KIN82 	45 	767 	
MSH3 	96 	962 	
CDC39 	36 	308 	
CDC50 	11 	82 	
OCA4 	30 	465 	
YCR095W-A 	7 	21 	
HMRA2 	0 	0 	
HMRA1 	31 	196 	
YCR097W-A 	1 	0 	
GIT1 	43 	651 	
YCR099C 	5 	16 	
YCR100C 	15 	195 	
YCR101C 	14 	247 	
YCR102C 	44 	726 	
YCR102W-A 	2 	3 	
PAU3 	10 	106 	
ADH7 	50 	766 	
RDS1 	40 	592 	
AAD3 	30 	367 	
YCR108C 	6 	171 	
COS7 	5 	27 	
YDL247W-A 	0 	0 	
MPH2 	0 	0 	
SOR2 	1 	0 	
HXT15 	12 	155 	
THI13 	14 	246 	
AAD4 	35 	537 	
YDL242W 	18 	459 	
YDL241W 	10 	65 	
YDL240C-A 	18 	569 	
LRG1 	57 	1054 	
ADY3 	36 	242 	
GUD1 	39 	1078 	
AIM6 	36 	288 	
PHO13 	7 	110 	
YPD1 	3 	7 	
GYP7 	43 	529 	
MFG1 	37 	328 	
OST4 	0 	0 	
BRE4 	66 	956 	
PTP1 	40 	571 	
SSB1 	24 	276 	
YDL228C 	11 	133 	
HO 	84 	1267 	
GCS1 	12 	117 	
