gene_name	number_of_transposon_per_gene	number_of_read_pergene
TDP1 	75 	1262 	
YBR223W-A 	7 	228 	
YBR224W 	23 	482 	
YBR225W 	39 	315 	
YBR226C 	9 	28 	
MCX1 	29 	207 	
SLX1 	24 	332 	
ROT2 	27 	296 	
OM14 	16 	132 	
YBR230W-A 	8 	49 	
SWC5 	22 	169 	
YBR232C 	14 	133 	
PBP2 	42 	513 	
DAD3 	0 	0 	
ARC40 	0 	0 	
VHC1 	57 	767 	
ABD1 	2 	1 	
PRP5 	1 	0 	
YBR238C 	34 	307 	
ERT1 	90 	1704 	
THI2 	34 	569 	
YBR241C 	58 	954 	
YBR242W 	10 	196 	
ALG7 	0 	0 	
GPX2 	15 	185 	
ISW1 	40 	700 	
RRT2 	13 	192 	
ENP1 	0 	0 	
HIS7 	35 	255 	
ARO4 	16 	85 	
SPO23 	41 	486 	
MRPS5 	7 	55 	
DUT1 	1 	0 	
SRB6 	4 	51 	
TRS20 	0 	0 	
MTC4 	28 	344 	
YBR255C-A 	13 	45 	
RIB5 	4 	5 	
POP4 	0 	0 	
SHG1 	8 	34 	
YBR259W 	35 	496 	
RGD1 	20 	214 	
TAE1 	16 	164 	
MIC12 	4 	31 	
SHM1 	31 	345 	
YPT10 	14 	163 	
TSC10 	4 	13 	
REI1 	14 	72 	
SLM6 	5 	12 	
MRPL37 	1 	0 	
FMP21 	9 	45 	
BIT2 	37 	352 	
EFM2 	14 	214 	
HSM3 	22 	334 	
UBX7 	31 	280 	
CHK1 	12 	176 	
RIF1 	36 	307 	
PPS1 	35 	704 	
YBR277C 	23 	210 	
DPB3 	18 	168 	
PAF1 	11 	154 	
SAF1 	26 	312 	
DUG2 	37 	266 	
MRPL27 	6 	19 	
SSH1 	15 	181 	
YBR284W 	84 	1270 	
YBR285W 	2 	1 	
APE3 	30 	425 	
YBR287W 	27 	263 	
APM3 	25 	373 	
SNF5 	24 	173 	
BSD2 	18 	155 	
CTP1 	61 	1108 	
YBR292C 	21 	145 	
VBA2 	24 	164 	
SUL1 	42 	714 	
PCA1 	74 	919 	
PHO89 	42 	601 	
YBR296C-A 	15 	142 	
MAL33 	37 	419 	
MAL31 	22 	291 	
YBR298C-A 	12 	256 	
MAL32 	12 	218 	
YBR300C 	10 	47 	
PAU24 	3 	3 	
COS2 	3 	2 	
YCL076W 	4 	44 	
GEX1 	8 	12 	
VBA3 	6 	7 	
YCL068C 	3 	2 	
